Quantity,Name,Finish,Condition,Date Added,Language,Purchase Price,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,Collector Number
4,Cloudpost,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665744,5355eecf-c03e-406c-9e7d-70e73dcd7510,330
1,Cloudpost,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665744,5355eecf-c03e-406c-9e7d-70e73dcd7510,330
4,Doubling Cube,Normal,NM,2026-08-17,EN,,,Fifth Dawn,5dn,51135,220d3a38-10f8-4d4a-84b8-f17b10a2cd6c,116
4,Eldrazi Conscription,Normal,NM,2026-08-17,EN,,,Secrets of Strixhaven Commander,soc,0,33965c48-a7ce-4a04-8251-8eeb2d908c0b,131
4,Eldrazi Temple,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665753,4f0ee055-1b1e-4ffa-9eb5-9ce7e8965f71,339
1,Eldrazi Temple,Normal,NM,2026-08-17,EN,,,Rise of the Eldrazi,roe,198312,315924c9-77e3-405b-9bbf-852ed563c6e3,227
1,"Emrakul, the Aeons Torn",Foil,NM,2026-08-17,IT,,,Rise of the Eldrazi Promos,proe,0,cbfc29b0-a72d-4f91-bc6c-86c79c626be8,4★
2,Eye of Ugin,Normal,NM,2026-08-17,SP,,,Worldwake,wwk,197881,c3b21941-1b7d-4fde-8b1d-7edbd5e5b796,136
1,It That Betrays,Normal,NM,2026-08-17,EN,,,Rise of the Eldrazi,roe,198171,34d790ad-3559-4c32-9057-e2e326740bdc,7
1,"Kozilek, Butcher of Truth",Normal,NM,2026-08-17,EN,,,Double Masters 2022,2x2,571335,d27cf7b7-7982-46bd-a559-7789c0e74bae,2
4,Lotus Bloom,Normal,NM,2026-08-17,EN,,,Time Spiral Remastered,tsr,509635,db89ae4d-1cc2-41d8-a4de-a54b958c4429,270
3,Ornithopter,Normal,NM,2026-08-17,EN,,,Magic 2011,m11,206331,331a0a01-0c12-4999-9bd7-f26991e4dad5,211
2,Pathrazer of Ulamog,Normal,NM,2026-08-17,EN,,,Commander Masters,cmm,622612,c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994,4
1,Sol Ring,Foil,NM,2026-08-17,EN,,,From the Vault: Relics,v10,212638,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a,12
1,Spawnsire of Ulamog,Normal,NM,2026-08-17,EN,,,Rise of the Eldrazi,roe,193535,9ff46819-bfb3-4448-ab4f-f22ff9e2b2b4,11
3,Ulamog's Crusher,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665575,ac896541-b271-4bbb-a45c-753869361df6,161
2,"Ulamog, the Infinite Gyre",Normal,NM,2026-08-17,EN,,,Double Masters 2022,2x2,571336,9464a820-65de-44f2-9895-46a35e8621a0,3
1,Urza's Mine,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665815,32dbc719-d8aa-47ff-b7ea-20adadc99ec7,401
1,Urza's Power Plant,Normal,NM,2026-08-17,EN,,,Eighth Edition,8ed,45470,4499c80b-72af-485c-9106-22967b5252cd,329
1,Urza's Tower,Normal,NM,2026-08-17,EN,,,Modern Horizons 3 Commander,m3c,665817,7693a698-65be-4d85-8b9d-c02c1596b99d,403
